State,Median 2010,Median 2011,Median 2012,Median 2013,Median 2014,Median 2015,Median 2016,Median 2017,Region
Alabama,42081.0,42934.0,43160.0,43253.0,43511.0,43623.0,44758.0,46472.0,SE
Alaska,66521.0,69014.0,69917.0,70760.0,71829.0,72515.0,74444.0,76114.0,W
Arizona,50448.0,50752.0,50256.0,49774.0,49928.0,50255.0,51340.0,53510.0,SW
Arkansas,39267.0,40149.0,40531.0,40768.0,41264.0,41371.0,42336.0,43813.0,SE
California,60883.0,61632.0,61400.0,61094.0,61489.0,61818.0,63783.0,67169.0,W
Colorado,56456.0,57685.0,58244.0,58433.0,59448.0,60629.0,62520.0,65458.0,W
Connecticut,67740.0,69243.0,69519.0,69461.0,69899.0,70331.0,71755.0,73781.0,NE
Delaware,57599.0,59317.0,60119.0,59878.0,60231.0,60509.0,61017.0,63036.0,NE
District of Columbia,58526.0,61835.0,64267.0,65830.0,69235.0,70848.0,72935.0,77649.0,NE
Florida,47661.0,47827.0,47309.0,46956.0,47212.0,47507.0,48900.0,50883.0,SE
Georgia,49347.0,49736.0,49604.0,49179.0,49342.0,49620.0,51037.0,52977.0,SE
Hawaii,66420.0,67116.0,67492.0,67402.0,68201.0,69515.0,71977.0,74923.0,W
Idaho,46423.0,46890.0,47015.0,46767.0,47334.0,47583.0,49174.0,50985.0,W
Illinois,55735.0,56576.0,56853.0,56797.0,57166.0,57574.0,59196.0,61229.0,MW
Indiana,47697.0,48393.0,48374.0,48248.0,48737.0,49255.0,50433.0,52182.0,MW
Iowa,48872.0,50451.0,51129.0,51843.0,52716.0,53183.0,54570.0,56570.0,MW
Kansas,49424.0,50594.0,51273.0,51332.0,51872.0,52205.0,53571.0,55477.0,MW
Kentucky,41576.0,42248.0,42610.0,43036.0,43342.0,43740.0,44811.0,46535.0,MW
Louisiana,43445.0,44086.0,44673.0,44874.0,44991.0,45047.0,45652.0,46710.0,SE
Maine,46933.0,47898.0,48219.0,48453.0,48804.0,49331.0,50826.0,53024.0,NE
Maryland,70647.0,72419.0,72999.0,73538.0,74149.0,74551.0,76067.0,78916.0,NE
Massachusetts,64509.0,65981.0,66658.0,66866.0,67846.0,68563.0,70954.0,74167.0,NE
Michigan,48432.0,48669.0,48471.0,48411.0,49087.0,49576.0,50803.0,52668.0,MW
Minnesota,57243.0,58476.0,59126.0,59836.0,60828.0,61492.0,63217.0,65699.0,MW
Mississippi,37881.0,38718.0,38882.0,39031.0,39464.0,39665.0,40528.0,42009.0,SE
Missouri,46262.0,47202.0,47333.0,47380.0,47764.0,48173.0,49593.0,51542.0,MW
Montana,43872.0,45324.0,45456.0,46230.0,46766.0,47169.0,48380.0,50801.0,W
Nebraska,49342.0,50695.0,51381.0,51672.0,52400.0,52997.0,54384.0,56675.0,MW
Nevada,55726.0,55553.0,54083.0,52800.0,52205.0,51847.0,53094.0,55434.0,W
New Hampshire,63277.0,64664.0,64925.0,64916.0,65986.0,66779.0,68485.0,71305.0,NE
New Jersey,69811.0,71180.0,71637.0,71629.0,72062.0,72093.0,73702.0,76475.0,NE
New Mexico,43820.0,44631.0,44886.0,44927.0,44968.0,44963.0,45674.0,46718.0,SW
New York,55603.0,56951.0,57683.0,58003.0,58687.0,59269.0,60741.0,62765.0,NE
North Carolina,45570.0,46291.0,46450.0,46334.0,46693.0,46868.0,48256.0,50320.0,SE
North Dakota,46781.0,49415.0,51641.0,53741.0,55579.0,57181.0,59114.0,61285.0,MW
Ohio,47358.0,48071.0,48246.0,48308.0,48849.0,49429.0,50674.0,52407.0,MW
Oklahoma,42979.0,44287.0,44891.0,45339.0,46235.0,46879.0,48038.0,49767.0,SW
Oregon,49260.0,49850.0,50036.0,50229.0,50521.0,51243.0,53270.0,56119.0,W
Pennsylvania,50398.0,51651.0,52267.0,52548.0,53115.0,53599.0,54895.0,56951.0,NE
Rhode Island,54902.0,55975.0,56102.0,56361.0,56423.0,56852.0,58387.0,61043.0,NE
South Carolina,43939.0,44587.0,44623.0,44779.0,45033.0,45483.0,46898.0,48781.0,SE
South Dakota,46369.0,48010.0,49091.0,49495.0,50338.0,50957.0,52078.0,54126.0,MW
Tennessee,43314.0,43989.0,44140.0,44298.0,44621.0,45219.0,46574.0,48708.0,SE
Texas,49646.0,50920.0,51563.0,51900.0,52576.0,53207.0,54727.0,57051.0,SW
Utah,56330.0,57783.0,58164.0,58821.0,59846.0,60727.0,62518.0,65325.0,W
Vermont,51841.0,53422.0,54168.0,54267.0,54447.0,55176.0,56104.0,57808.0,NE
Virginia,61406.0,63302.0,63636.0,63907.0,64792.0,65015.0,66149.0,68766.0,MW
Washington,57244.0,58890.0,59374.0,59478.0,60294.0,61062.0,62848.0,66174.0,W
West Virginia,38380.0,39550.0,40400.0,41043.0,41576.0,41751.0,42644.0,44061.0,SE
Wisconsin,51598.0,52374.0,52627.0,52413.0,52738.0,53357.0,54610.0,56759.0,MW
Wyoming,53802.0,56380.0,56573.0,57406.0,58252.0,58840.0,59143.0,60938.0,W
