State,2010 POP,Median 2010,2011 POP,Median 2011,2012 POP,Median 2012,2013 POP,Median 2013,2014 POP,Median 2014,2015 POP,Median 2015,2016 POP,Median 2016,2017 POP,Median 2017,Region
Alabama,15617.529411764706,42081.0,15661.363800904976,42934.0,15713.219909502262,43160.0,15760.858823529412,43253.0,15802.909502262444,43511.0,15841.446153846155,43623.0,15875.019004524887,44758.0,15922.885972850681,46472.0,SE
Alaska,7581.731988472622,66521.0,7666.988472622478,69014.0,7757.066282420749,69917.0,7819.311239193084,70760.0,7816.585014409223,71829.0,7824.314121037464,72515.0,7856.389048991355,74444.0,7833.665706051873,76114.0,W
Arizona,109780.77375565609,50448.0,110807.1628959276,50752.0,112187.88235294117,50256.0,113455.18552036199,49774.0,115031.47963800904,49928.0,116714.80090497738,50255.0,118562.8371040724,51340.0,120432.47058823529,53510.0,SW
Arkansas,9087.38704177323,39267.0,9144.59505541347,40149.0,9180.98294970162,40531.0,9208.963341858482,40768.0,9238.167092924126,41264.0,9276.047740835464,41371.0,9318.995737425405,42336.0,9372.023017902813,43813.0,SE
California,132762.17920148562,60883.0,134004.1662024141,61632.0,135249.28319405756,61400.0,136434.88207985144,61094.0,137704.3398328691,61489.0,138893.6555246054,61818.0,139843.98978644382,63783.0,140702.9331476323,67169.0,W
Colorado,27272.89580318379,56456.0,27651.75976845152,57685.0,28039.124457308248,58244.0,28461.892908827787,58433.0,28900.500723589,59448.0,29443.341534008683,60629.0,29931.80897250362,62520.0,30354.14327062229,65458.0,W
Connecticut,60172.25964912281,67740.0,60379.698245614025,69243.0,60487.27719298246,69519.0,60578.750877192986,69461.0,60546.58947368421,69899.0,60442.00350877192,70331.0,60352.90877192983,71755.0,60359.207017543864,73781.0,NE
Delaware,23829.145161290322,57599.0,24047.25,59317.0,24286.137096774193,60119.0,24500.322580645166,59878.0,24754.322580645166,60231.0,24999.620967741932,60509.0,25224.45967741936,61017.0,25471.395161290322,63036.0,NE
District of Columbia,605040.0,58526.0,620336.0,61835.0,635630.0,64267.0,650114.0,65830.0,660797.0,69235.0,672736.0,70848.0,684336.0,72935.0,693972.0,77649.0,NE
Florida,68678.96257796258,47661.0,69596.08939708941,47827.0,70481.83056133057,47309.0,71362.53638253639,46956.0,72502.25675675676,47212.0,73846.11122661122,47507.0,75245.09979209979,48900.0,76423.53430353431,50883.0,SE
Georgia,23402.962809917357,49347.0,23640.202479338845,49736.0,23888.843663911844,49604.0,24052.30027548209,49179.0,24287.005509641876,49342.0,24558.14049586777,49620.0,24823.854683195597,51037.0,25096.90564738292,52977.0,SE
Hawaii,446990.5555555556,66420.0,451765.33333333326,67116.0,456446.0,67492.0,461206.22222222225,67402.0,463893.44444444455,68201.0,466535.22222222225,69515.0,466887.33333333326,71977.0,466013.44444444455,74923.0,W
Idaho,11736.485829959514,46423.0,11832.342105263158,46890.0,11922.714574898786,47015.0,12043.09109311741,46767.0,12199.585020242916,47334.0,12344.344129554656,47583.0,12576.696356275304,49174.0,12856.479757085019,50985.0,W
Illinois,10115.170556309362,55735.0,10132.625373134328,56576.0,10146.884396200814,56853.0,10157.758480325645,56797.0,10152.575848032564,57166.0,10137.455223880595,57574.0,10117.284396200814,59196.0,10091.320217096336,61229.0,MW
Indiana,9980.023458091724,47697.0,10022.07643647865,48393.0,10057.403268318398,48374.0,10110.88323668951,48248.0,10153.153136531366,48737.0,10182.150764364787,49255.0,10219.647074327886,50433.0,10272.09409594096,52182.0,MW
Iowa,5356.472904122279,48872.0,5381.454840203798,50451.0,5401.495599814729,51129.0,5430.044465030107,51843.0,5459.25289485873,52716.0,5483.595182955072,53183.0,5506.7735062528955,54570.0,5534.532190829088,56570.0,MW
Kansas,3856.9582125603865,49424.0,3871.7739130434784,50594.0,3894.5176328502416,51273.0,3905.0437198067625,51332.0,3914.3985507246375,51872.0,3923.3132850241545,52205.0,3926.485024154589,53571.0,3934.1896135265706,55477.0,MW
Kentucky,14383.543441226577,41576.0,14456.097955706984,42248.0,14515.524701873936,42610.0,14578.580068143101,43036.0,14621.531516183986,43342.0,14666.652470187393,43740.0,14717.7734241908,44811.0,14781.94804088586,46535.0,MW
Louisiana,21020.476446837147,43445.0,21158.588156123824,44086.0,21290.304172274562,44673.0,21402.07133243607,44874.0,21501.262449528942,44991.0,21603.48452220727,45047.0,21665.89502018842,45652.0,21649.581426648718,46710.0,SE
Maine,9312.161904761904,46933.0,9315.042857142857,47898.0,9316.47619047619,48219.0,9316.088888888891,48453.0,9325.01746031746,48804.0,9318.2,49331.0,9334.538095238097,50826.0,9373.282539682541,53024.0,NE
Maryland,48851.26098901099,70647.0,49293.8543956044,72419.0,49687.50549450549,72999.0,50022.332417582424,73538.0,50336.63736263736,74149.0,50578.66483516483,74551.0,50752.4010989011,76067.0,50962.98626373626,78916.0,NE
Massachusetts,61402.90485074628,64509.0,61842.367537313425,65981.0,62295.875,66658.0,62776.05037313433,66866.0,63223.81156716418,67846.0,63561.53358208955,68563.0,63838.00932835821,70954.0,64159.253731343284,74167.0,NE
Michigan,13667.130081300813,48432.0,13662.562330623306,48669.0,13674.146341463416,48471.0,13686.533875338753,48411.0,13701.70650406504,49087.0,13701.593224932249,49576.0,13717.379674796748,50803.0,13751.064769647695,52668.0,MW
Minnesota,5061.740062282469,57243.0,5094.328265250046,58476.0,5123.639494412896,59126.0,5159.58783660011,59836.0,5194.335043048177,60828.0,5223.437442755084,61492.0,5263.064847041584,63217.0,5312.21414178421,65699.0,MW
Mississippi,13345.454545454546,37881.0,13378.478873239435,38718.0,13401.399487836108,38882.0,13420.647887323943,39031.0,13424.426376440459,39464.0,13409.259923175416,39665.0,13407.518565941102,40528.0,13398.25352112676,42009.0,SE
Missouri,7944.700459201696,46262.0,7963.790180148359,47202.0,7980.806075591664,47333.0,8004.5376192158255,47380.0,8027.477569763335,47764.0,8046.424938184387,48173.0,8071.779583186154,49593.0,8101.3345107735795,51542.0,MW
Montana,9609.349462365592,43872.0,9674.413978494624,45324.0,9742.115591397851,45456.0,9824.96505376344,46230.0,9901.301075268815,46766.0,9984.311827956992,47169.0,10079.27688172043,48380.0,10190.989247311827,50801.0,W
Nebraska,3566.769636015326,49342.0,3586.3869731800764,50695.0,3608.4128352490416,51381.0,3628.994731800766,51672.0,3651.144636015326,52400.0,3672.295019157088,52997.0,3696.0043103448274,54384.0,3717.222701149425,56675.0,MW
Nevada,146677.46153846153,55726.0,147529.9846153846,55553.0,149423.12307692308,54083.0,151310.1846153846,52800.0,153777.52307692307,52205.0,156573.75384615385,51847.0,159630.64615384614,53094.0,162849.78461538462,55434.0,W
New Hampshire,19028.82704402516,63277.0,19054.490566037737,64664.0,19089.14150943396,64925.0,19113.65408805032,64916.0,19202.751572327044,65986.0,19223.094339622643,66779.0,19291.292452830192,68485.0,19400.930817610064,71305.0,NE
New Jersey,27582.497468354435,69811.0,27718.24430379747,71180.0,27843.596202531644,71637.0,27948.12658227848,71629.0,28043.03670886076,72062.0,28100.43417721519,72093.0,28162.369620253165,73702.0,28249.925316455698,76475.0,NE
New Mexico,26824.982206405693,43820.0,27002.21352313167,44631.0,27084.128113879004,44886.0,27114.51245551601,44927.0,27097.51601423488,44968.0,27092.882562277584,44963.0,27136.864768683277,45674.0,27172.729537366547,46718.0,SW
New York,26323.907611853574,55603.0,26471.28965717606,56951.0,26589.40557815224,57683.0,26695.073503776875,58003.0,26765.13712957583,58687.0,26812.85299244625,59269.0,26826.50697269029,60741.0,26842.556362579897,62765.0,NE
North Carolina,24974.143277002204,45570.0,25217.194709772222,46291.0,25472.80088170463,46450.0,25735.688464364437,46334.0,25988.594415870684,46693.0,26265.019103600294,46868.0,26575.996326230717,48256.0,26890.42689199118,50320.0,SE
North Dakota,1258.0213572166724,46781.0,1277.4881157423356,49415.0,1308.2893558387875,51641.0,1350.2101274543575,53741.0,1380.7326903203582,55579.0,1412.9379951774026,57181.0,1415.800206682742,59114.0,1416.743024457458,61285.0,MW
Ohio,11314.094744368967,47358.0,11318.580979621023,48071.0,11323.432070075081,48246.0,11345.02306042188,48308.0,11371.26117268502,48849.0,11384.768501966391,49429.0,11401.929388630677,50674.0,11437.859671076152,52407.0,MW
Oklahoma,10247.635507246378,42979.0,10320.242753623188,44287.0,10406.353623188406,44891.0,10504.555072463769,45339.0,10576.001449275362,46235.0,10659.342753623188,46879.0,10707.302173913044,48038.0,10734.139855072464,49767.0,SW
Oregon,24903.187719298247,49260.0,25094.522807017544,49850.0,25284.01052631579,50036.0,25455.47192982456,50229.0,25728.6403508772,50521.0,26095.43157894737,51243.0,26550.191228070176,53270.0,26921.029824561407,56119.0,W
Pennsylvania,10230.232356511184,50398.0,10251.821050806313,51651.0,10268.72828160222,52267.0,10273.746141841513,52548.0,10279.235304317672,53115.0,10275.661175654586,53599.0,10268.653025836657,54895.0,10278.716143575517,56951.0,NE
Rhode Island,71191.54166666669,54902.0,71145.20833333331,55975.0,71193.98611111111,56102.0,71174.09722222223,56361.0,71327.66666666669,56423.0,71413.30555555556,56852.0,71534.04166666669,58387.0,71663.16666666669,61043.0,NE
South Carolina,23584.30757575757,43939.0,23773.319696969702,44587.0,24010.918181818182,44623.0,24250.857575757575,44779.0,24554.22272727273,45033.0,24905.13333333333,45483.0,25254.309090909093,46898.0,25586.674242424244,48781.0,SE
South Dakota,1867.167171935903,46369.0,1883.5985275010828,48010.0,1905.65656128194,49091.0,1929.5708098744046,49495.0,1946.8427890861844,50338.0,1958.4231268947601,50957.0,1976.0909484625374,52078.0,1996.1325249025551,54126.0,MW
Tennessee,26029.082073434125,43314.0,26209.473002159822,43989.0,26460.32721382289,44140.0,26643.45464362851,44298.0,26861.893088552915,44621.0,27089.09719222462,45219.0,27337.974082073437,46574.0,27601.69654427646,48708.0,SE
Texas,30318.203727506432,49646.0,30801.6455655527,50920.0,31323.31041131105,51563.0,31803.03759640103,51900.0,32367.68348329049,52576.0,32963.849293059124,53207.0,33498.3865681234,54727.0,33973.917737789205,57051.0,SW
Utah,19468.54398563734,56330.0,19751.642728904848,57783.0,20025.727109515257,58164.0,20349.1723518851,58821.0,20623.21364452424,59846.0,20949.80251346499,60727.0,21372.482944344705,62518.0,21780.558348294435,65325.0,W
Vermont,6604.603211009175,51841.0,6607.447247706422,53422.0,6602.8784403669715,54168.0,6607.834862385321,54267.0,6602.674311926607,54447.0,6589.11009174312,55176.0,6577.229357798165,56104.0,6580.587155963302,57808.0,NE
Virginia,37748.882005899715,61406.0,38112.734513274336,63302.0,38485.269911504416,63636.0,38813.976401179934,63907.0,39057.40412979351,64792.0,39276.69911504425,65015.0,39485.830383480825,66149.0,39722.24631268437,68766.0,MW
Washington,37895.96918335901,57244.0,38340.17103235747,58890.0,38753.741140215716,59374.0,39169.63482280431,59478.0,39646.20030816641,60294.0,40247.61787365177,61062.0,40969.9907550077,62848.0,41669.62403697997,66174.0,W
West Virginia,10641.504288164666,38380.0,10643.157804459692,39550.0,10645.216123499142,40400.0,10626.771869639793,41043.0,10597.056603773584,41576.0,10549.924528301886,41751.0,10483.754716981131,42644.0,10407.521440823328,44061.0,SE
Wisconsin,7764.181315921647,51598.0,7785.314163736815,52374.0,7807.313159216475,52627.0,7828.5547463586145,52413.0,7848.9261677548975,52738.0,7860.454545454545,53357.0,7877.848568558515,54610.0,7907.425414364641,56759.0,MW
Wyoming,8455.573170731708,53802.0,8506.670731707318,56380.0,8643.650406504064,56573.0,8732.30081300813,57406.0,8747.272357723577,58252.0,8788.792682926829,58840.0,8768.491869918698,59143.0,8681.41056910569,60938.0,W
